id,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,type,feature10,feature11,rating
4997,3.5,1.3,5.45,3.3,8.0,9.0,9.972000000000001,0.18,1.9,new,8.1,0.59,3
382,15.7,2.6,3.5,3.12,5.1,9.2,9.969,0.28,9.6,old,7.5,0.53,3
2403,12.5,1.9,3.3000000000000003,2.96,3.4000000000000004,12.7,9.9166,0.36,2.1,old,8.8,0.98,3
4665,11.1,4.4,1.7000000000000002,3.14,2.8,12.4,9.9272,0.36,8.2,old,7.3,0.41,3
2408,21.4,4.4,7.05,3.1,4.4,9.1,9.9741,0.1,13.0,old,7.5,0.5,2
3353,8.7,3.1,4.3,3.02,3.2,12.4,9.922,0.28,11.25,old,6.5,0.38,3
914,8.8,1.15,3.2,3.24,5.0,9.5,9.946,0.26,1.2,old,8.0,0.37,1
2499,17.5,3.7,2.6,3.32,3.9,11.4,9.937600000000002,0.31,7.0,old,6.9,0.49,3
5071,4.2,2.4,6.2,3.42,6.800000000000002,11.5,9.961,0.05,1.9,new,7.4,0.57,3
3055,11.6,3.6,2.5,3.18,2.4,12.5,9.8935,0.44,1.7,old,6.3,0.4,3
5663,4.8,1.2,6.7,3.31,9.1,9.5,9.9888,0.1,3.0,new,9.2,0.54,3
5863,4.8,2.4,3.4000000000000004,3.34,6.5,11.0,9.9554,0.4,2.4,new,8.3,0.86,3
4634,13.6,4.9,2.9,3.11,3.8,11.2,9.9366,0.38,10.7,old,5.8,0.59,3
5864,1.0,0.6,3.8,3.13,10.3,11.9,9.9604,0.41,2.4,new,9.0,0.58,4
2558,14.6,6.3,1.3,3.13,4.3,11.2,9.9066,0.42,1.1,old,6.3,0.72,4
5829,3.8,1.3,6.1,3.48,7.400000000000001,9.8,9.974799999999998,0.01,2.0,new,7.4,0.65,2
1054,6.1,0.5,3.1,3.07,2.9,10.4,9.918,0.52,1.7,old,7.0,0.43,2
1039,10.2,1.3,1.7000000000000002,3.05,3.5000000000000004,11.0,9.918,0.34,1.4,old,7.5,0.74,2
4950,1.4,0.6,5.0,3.39,6.800000000000002,9.4,9.955,0.04,2.1,new,6.6,0.64,3
6463,4.2,2.6,6.7,3.39,6.1,10.9,9.9489,0.02,1.9,new,6.7,0.82,3
4712,11.1,3.2,2.7,3.36,5.3,10.4,9.9474,0.16,9.0,old,5.7,0.37,3
1924,10.6,0.6,2.6,3.15,3.2,10.4,9.93,0.36,1.6,old,7.6,0.4,1
1419,10.3,2.7,1.4,3.07,4.0,10.8,9.916,0.74,1.6,old,7.6,0.4,4
1874,15.4,3.7,2.9,3.06,3.4000000000000004,10.8,9.937999999999999,0.31,7.35,old,7.9,0.31,2
3185,11.5,4.9,2.1,3.21,4.1,11.0,9.926799999999998,0.4,7.3,old,6.5,0.43,3
5441,5.3,1.6,6.6000000000000005,3.06,8.5,11.0,9.993,0.24,2.5,new,11.2,0.72,3
2426,17.2,3.2,2.2,3.27,4.0,11.2,9.9194,0.26,1.5,old,7.3,0.48,3
3351,9.0,4.7,2.2,3.22,3.4000000000000004,12.6,9.8862,0.28,1.1,old,6.0,0.38,3
4972,8.3,2.8,3.2,3.28,9.4,9.6,9.984,0.54,2.5,new,9.7,0.82,2
398,16.8,5.2,2.6,3.35,4.8,9.4,9.993,0.27,18.2,old,5.9,0.44,2
921,15.3,5.6,3.2,3.13,3.6000000000000005,8.9,9.978,0.62,10.6,old,7.7,0.44,3
963,11.2,2.3,1.9,3.37,2.3,11.6,9.923,0.25,4.0,old,6.1,0.51,3
5871,1.2,0.6,3.4000000000000004,3.52,7.9,10.7,9.9605,0.44,1.7,new,8.5,0.63,2
5903,0.8,0.4,3.6,3.36,6.7,12.8,9.927999999999999,0.32,1.8,new,6.8,0.55,4
2554,15.0,6.7,1.5,3.14,4.3,11.2,9.907,0.44,1.2,old,6.4,0.73,4
5393,1.6,0.5,3.5,3.15,7.000000000000001,11.0,9.972000000000001,0.53,2.6,new,10.7,0.65,5
2794,15.1,3.7,3.5,3.07,5.3,9.4,9.963,0.53,10.1,old,6.8,0.4,2
3724,12.2,2.9,2.55,3.37,5.1,11.3,9.9048,0.33,1.2,old,5.4,0.66,3
977,18.9,5.3,1.4,3.25,5.0,8.6,9.966,0.33,7.6,old,6.5,0.49,2
1197,12.95,4.45,2.2,3.36,4.2,9.1,9.998,0.4,14.75,old,7.3,0.41,4
5876,2.9,0.9,4.0,3.28,6.1,11.3,9.9416,0.32,3.6,new,7.0,0.49,4
421,22.2,3.7,2.1,3.25,4.5,10.4,9.954,0.28,8.7,old,7.0,0.54,3
3597,13.7,5.4,1.9,3.18,4.2,10.8,9.9492,0.28,11.8,old,6.6,0.37,3
987,16.3,4.5,3.0,3.12,5.3,10.3,9.941,0.3,5.2,old,7.4,0.45,3
1080,11.8,3.1,1.5,3.43,5.9,9.0,9.956,0.33,4.7,old,6.8,0.39,4
2959,9.0,2.6,4.0,2.84,1.6,13.2,9.8951,0.26,5.45,old,7.3,0.54,4
4875,9.7,1.8,2.2,3.12,3.5000000000000004,9.7,9.9245,0.26,1.2,old,7.4,0.41,3
105,10.9,3.4,1.3,3.2,5.1,9.2,9.974,0.32,14.4,old,7.3,0.35,3
669,21.1,6.0,2.4,3.18,4.7,9.3,9.966,0.5,11.6,old,6.4,0.57,2
1814,10.0,3.1,4.2,3.0,3.0,12.8,9.911,0.29,4.1,old,8.2,0.32,4
5657,8.8,3.3,4.2,3.19,9.2,9.2,9.9823,0.21,2.5,new,8.8,0.52,2
6184,3.1,1.7,1.6,3.35,6.800000000000002,12.4,9.9328,0.44,2.5,new,7.1,0.54,3
36,14.9,2.5,3.9,3.24,5.1,10.0,9.934,0.23,5.4,old,6.5,0.35,2
3914,13.8,4.5,3.9,3.23,3.7000000000000006,11.2,9.9174,0.24,4.8,old,6.2,0.43,4
6108,1.5,0.8,6.5,3.35,7.8,10.4,9.9498,0.02,2.1,new,6.8,0.62,3
3614,15.1,4.1,3.8,3.11,4.7,9.2,9.9604,0.24,7.2,old,6.4,0.6,2
5845,1.2,0.6,2.8000000000000003,3.26,9.3,12.4,9.9408,0.48,2.1,new,8.3,0.62,4
6209,2.7,1.2,5.1,3.33,6.4,12.8,9.929,0.15,3.0,new,6.5,0.59,3
3345,18.8,6.4,1.7999999999999998,3.13,5.8,10.6,9.952,0.24,9.8,old,6.8,0.51,3
3178,9.8,2.3,1.5,3.1,5.1,9.5,9.9422,0.35,4.3,old,7.6,0.44,3
4629,7.3,1.4,2.4,3.04,4.1,11.6,9.8981,0.34,2.0,old,5.6,0.45,4
598,11.5,3.1,2.7,3.35,3.6000000000000005,10.5,9.949,0.29,11.4,old,5.9,0.48,5
440,10.2,2.4,2.2,,2.8,11.6,9.913,0.37,1.6,old,6.7,0.59,4
2036,15.5,2.0,2.7,3.8,4.6,10.2,9.934,0.32,1.2,old,5.7,0.41,3
2093,13.6,2.2,2.2,2.94,5.2,9.4,9.986,0.53,15.1,old,6.6,0.35,2
463,6.8,1.5,3.2,3.17,4.4,9.4,9.932,0.21,2.2,old,6.8,0.39,3
5432,3.2,1.3,4.8,3.28,10.2,10.0,10.0,0.24,2.7,new,10.0,0.56,3
2022,21.5,4.5,3.4000000000000004,3.11,4.0,9.2,9.965,0.39,7.6,old,7.6,0.53,3
443,24.5,5.4,5.2,3.26,4.8,9.3,9.975,0.44,12.2,old,6.6,0.54,3
3388,8.0,2.2,3.9,2.95,9.6,12.6,9.9016,0.35,1.8,old,8.8,0.54,3
3191,14.6,4.9,2.4,3.06,3.7000000000000006,11.6,9.911,0.44,3.8,old,7.6,0.37,3
2847,8.6,4.0,2.0,3.5,3.5000000000000004,11.7,9.8993,0.34,1.0,old,5.8,0.42,2
2309,12.6,1.1,2.8000000000000003,3.14,3.5000000000000004,9.8,9.9232,0.34,1.3,old,8.1,0.5,3
313,16.6,5.1,3.6,3.29,3.8,10.0,9.941,0.21,6.7,old,5.7,0.63,3
3621,11.8,4.8,2.7,3.04,4.4,10.0,9.9726,0.24,12.6,old,7.1,0.56,4
3305,9.6,3.3,1.9,3.04,2.2,12.8,9.890200000000002,0.29,2.0,old,6.3,0.54,4
4026,15.1,5.2,1.9,3.18,3.3000000000000003,10.4,9.9726,0.37,13.1,old,7.6,0.79,3
1368,19.1,5.5,2.2,3.32,5.0,8.9,10.0,0.41,15.4,old,7.3,0.59,3
1737,18.5,5.0,1.6,3.39,5.7,9.6,9.978,0.3,9.6,old,6.9,0.38,3
5057,8.6,1.8,6.0,3.59,7.9,9.3,9.968,0.18,1.9,new,6.8,0.57,3
5775,4.3,3.1,7.15,3.41,6.4,11.8,9.9371,0.01,2.1,new,7.7,0.57,3
2882,12.5,3.7,2.4,3.2,3.9,9.9,9.9436,0.3,6.7,old,7.0,0.39,2
6107,2.4,1.4,3.9,3.45,7.1,11.2,9.9428,0.43,2.0,new,6.2,0.87,4
3385,12.6,3.4,3.2,3.06,3.7000000000000006,11.8,9.9,0.31,1.9,old,6.4,0.45,3
3074,14.1,2.9,2.5,3.28,4.2,10.4,9.9546,0.33,8.5,old,6.6,0.6,2
5975,0.8,0.3,3.7,3.27,8.0,11.0,9.981700000000002,0.65,6.4,new,8.6,0.58,2
3574,11.9,2.4,1.7000000000000002,3.18,3.6000000000000005,10.1,9.9396,0.21,1.6,old,8.1,0.52,3
5472,7.8,2.0,3.4000000000000004,3.19,7.8,10.0,9.992,0.49,3.2,new,10.6,0.7,3
2506,21.2,6.3,3.2,3.22,4.4,9.7,9.9526,0.34,7.7,old,6.6,0.48,3
1914,13.5,2.7,4.3,3.0,3.3000000000000003,12.0,9.906,0.3,3.5,old,6.8,0.37,3
3418,21.4,3.4,3.7,3.1,3.2,9.8,9.963,0.4,11.6,old,7.2,0.51,3
2315,14.4,4.9,4.2,3.4,6.1,11.0,9.966,0.38,8.1,old,7.7,0.58,3
5157,3.3,1.4,3.1,3.36,8.5,10.5,9.9965,0.47,2.6,new,10.0,0.8,4
5247,2.8,1.1,7.85,3.36,9.3,9.4,9.994,0.0,2.6,new,9.1,0.86,3
506,13.5,0.7,5.1,3.01,9.0,8.8,9.944,0.26,3.3,old,7.3,0.52,2
1676,8.7,2.7,3.5,3.4,2.8,11.4,9.936,0.3,6.5,old,7.0,0.42,4
1945,15.2,3.9,2.6,2.99,4.9,10.0,9.954,0.3,7.8,old,8.1,0.58,3
5140,10.9,2.8,5.8,3.08,10.2,9.8,9.9565,0.1,1.8,new,7.7,0.49,3
2600,13.2,5.1,1.1,3.18,4.2,11.3,9.9059,0.42,1.1,old,6.8,0.74,4
2056,14.6,4.1,2.1,3.3,4.2,8.7,10.001,0.27,18.15,old,6.8,0.36,2
5676,3.4,0.7,4.3,3.36,7.9,10.5,9.9788,0.3,3.4,new,8.3,0.61,2
2972,12.8,3.1,2.2,3.12,3.9,10.4,9.9296,0.22,5.6,old,6.3,0.46,3
4082,14.2,3.7,2.3000000000000003,3.23,4.6,10.6,9.9432,0.28,8.6,old,5.9,0.53,3
6279,2.5,0.4,8.299999999999999,3.38,7.400000000000001,9.6,9.9534,0.09,1.8,new,6.8,0.45,2
3238,11.5,3.7,2.7,3.09,5.9,9.8,9.9328,0.29,2.5,old,7.6,0.37,2
6326,5.5,2.7,6.4,3.31,7.200000000000001,11.0,9.962,0.0,1.9,new,7.8,0.63,2
133,18.8,4.6,2.4,3.24,3.5000000000000004,9.2,9.982000000000001,0.27,15.8,old,6.6,0.51,2
852,11.7,4.0,1.7999999999999998,3.27,3.6000000000000005,9.5,9.934,0.36,1.3,old,6.9,0.95,4
1210,5.9,1.4,2.8000000000000003,2.96,4.2,10.5,9.922,0.41,1.0,old,9.2,0.25,3
6401,1.4,0.6,4.4,3.51,7.7,11.0,9.9555,0.39,2.5,new,6.2,0.69,3
1833,15.3,3.4,4.9,3.13,3.0,12.0,9.953,0.24,15.1,old,7.4,0.51,4
1212,15.5,3.2,3.2,3.23,4.0,11.3,9.93,0.36,1.6,old,7.6,0.52,3
596,15.2,2.8,4.1,3.2,4.3,9.4,9.968,0.33,10.1,old,6.9,0.52,2
4237,8.0,2.7,2.3000000000000003,3.05,3.0,10.5,9.9192,0.3,1.2,old,7.5,0.68,2
608,16.1,4.8,2.8000000000000003,3.34,4.4,9.5,9.993,0.25,17.75,old,6.1,0.48,2
5036,10.5,1.5,5.6000000000000005,3.33,8.1,9.5,9.962,0.19,2.1,new,7.8,0.54,2
5014,4.0,1.1,5.4,3.39,7.7,10.0,9.978,0.28,1.9,new,8.3,0.61,3
2990,17.8,5.8,2.7,3.45,3.2,12.6,9.8956,0.32,4.5,old,5.0,0.31,4
226,20.0,4.1,1.7000000000000002,3.5,4.8,9.7,9.937999999999999,0.32,2.4,old,6.4,0.5,3
4326,16.8,4.4,3.8,3.11,5.2,9.2,9.962700000000002,0.34,8.3,old,7.4,0.52,2
3877,9.8,2.0,2.8000000000000003,3.15,5.3,11.4,9.9069,0.31,1.5,old,7.1,0.5,2
1328,8.1,1.3,3.7,3.37,2.8,11.7,9.902000000000001,0.33,1.2,old,5.2,0.38,3
2462,7.2,1.2,2.5,2.89,5.3,9.5,9.9404,0.33,2.5,old,8.3,0.48,2
